Year,Month,Total Rainfall (Millimetre),Maximum Rainfall In A Day (Millimetre),Number Of Rainy Days (Number),Bright Sunshine Daily Mean Hours (Hour)
2014,Dec,245.6,48.2,17,3.7
2015,Jan,79.6,33.6,6,7.4
2015,Feb,18.8,10.8,6,7.3
2015,Mar,84.4,46,5,7.3
2015,Apr,73.2,18.8,13,7.2
2015,May,89,22.2,12,5.8
2015,Jun,95.8,28.4,10,6.7
2015,Jul,116.8,45.8,13,7.1
2015,Aug,185.8,63.2,11,6.1
2015,Sep,61.6,18.4,8,4.3
2015,Oct,87.2,28.6,9,4.7
2015,Nov,72.6,25.8,13,4.8
2015,Dec,302,40.4,19,5.3
2016,Jan,126.6,39.6,15,7.2
2016,Feb,186,71.8,10,6.5
2016,Mar,6.2,2.4,6,8
