Year,Quarter,Town,3-room,4-room,5-room,Executive
2012,Q4,Queenstown,365000,679000,*,-
2012,Q4,Sembawang,-,446000,500000,585000
2012,Q4,Sengkang,*,486000,535000,628900
2012,Q4,Serangoon,*,471500,*,*
2012,Q4,Tampines,375500,481200,565000,691000
2012,Q4,Toa Payoh,355000,592000,781900,*
2012,Q4,Woodlands,332000,420000,480000,616500
2012,Q4,Yishun,340000,411000,522000,*
2012,Q3,Ang Mo Kio,363000,489000,640000,-
2012,Q3,Bedok,348000,445000,613000,*
2012,Q3,Bishan,*,527500,687000,*
2012,Q3,Bukit Batok,329000,448500,618000,678000
2012,Q3,Bukit Merah,388000,660000,765000,-
2012,Q3,Bukit Panjang,347000,418000,490000,595400
2012,Q3,Bukit Timah,*,*,*,-
2012,Q3,Central,*,*,*,-
2012,Q3,Choa Chu Kang,*,432400,495000,603000
2012,Q3,Clementi,375000,550000,*,*
2012,Q3,Geylang,328000,485000,*,*
2012,Q3,Hougang,350000,454000,538000,670900
2012,Q3,Jurong East,341000,453000,550000,*
2012,Q3,Jurong West,331000,430000,510500,588000
2012,Q3,Kallang/Whampoa,369500,561500,676500,*
2012,Q3,Marine Parade,*,*,*,-
2012,Q3,Pasir Ris,*,455000,535000,670000
2012,Q3,Punggol,-,515000,560000,*
2012,Q3,Queenstown,388000,710000,*,-
2012,Q3,Sembawang,-,438000,491500,551500
2012,Q3,Sengkang,*,468000,525500,630000
2012,Q3,Serangoon,365000,487500,*,*
2012,Q3,Tampines,375000,475000,550000,670000
2012,Q3,Toa Payoh,366000,556400,698000,*
2012,Q3,Woodlands,316500,415000,470000,603500
2012,Q3,Yishun,335000,414000,510000,*
2012,Q2,Ang Mo Kio,357000,473000,652500,*
2012,Q2,Bedok,342000,437500,585000,*
2012,Q2,Bishan,*,511000,687000,*
2012,Q2,Bukit Batok,327500,430000,586900,*
2012,Q2,Bukit Merah,392500,617000,754000,-
2012,Q2,Bukit Panjang,345000,413000,500000,610000
2012,Q2,Bukit Timah,*,*,*,*
2012,Q2,Central,442500,*,*,-
2012,Q2,Choa Chu Kang,*,425000,486000,587800
2012,Q2,Clementi,388000,489000,*,*
