Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 1,4,1,1,1,1,SCHOOL OF COMPUTING,2,1,0,2B,2010,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2010,2
CS1010,SECTIONAL TEACHING 2,14,21,95,496,2000,SCIENCE,2,1,0,2B,2010,2
CS1010,SECTIONAL TEACHING 2,4,0,0,0,0,SCHOOL OF COMPUTING,2,1,0,2B,2010,2
CS1010,SECTIONAL TEACHING 1,4,6,366,688,1889,SCHOOL OF COMPUTING,2,1,1,2C,2010,2
CS1010,SECTIONAL TEACHING 2,6,15,130,688,3252,SCHOOL OF COMPUTING,2,1,1,2C,2010,2
CS1010,SECTIONAL TEACHING 1,1,6,250,563,563,SCHOOL OF COMPUTING,2,1,1,3B,2010,2
CS1010,SECTIONAL TEACHING 2,1,6,103,2500,2500,SCHOOL OF COMPUTING,2,1,1,3B,2010,2
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2011,1
CS1010,SECTIONAL TEACHING 7,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2011,1
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2011,1
CS1010,SECTIONAL TEACHING 7,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2011,1
CS1010,SECTIONAL TEACHING 1,8,0,0,0,0,SCIENCE,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,1C,2011,1
CS1010,SECTIONAL TEACHING 2,8,0,0,0,0,SCIENCE,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 5,8,0,0,0,0,SCIENCE,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 6,3,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,1C,2011,1
CS1010,SECTIONAL TEACHING 7,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 7,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 7,10,0,0,0,0,SCIENCE,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 8,6,0,0,0,0,SCIENCE,1,1,0,1C,2011,1
CS1010,SECTIONAL TEACHING 1,2,2,1,1,315,SCHOOL OF COMPUTING,0,1,1,2A,2011,1
CS1010,SECTIONAL TEACHING 1,8,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 2,8,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 3,15,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 5,1,1,865,1,865,SCHOOL OF COMPUTING,0,1,1,2A,2011,1
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 5,8,1,1,1,1,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 6,3,3,1,1,201,SCHOOL OF COMPUTING,0,1,1,2A,2011,1
CS1010,SECTIONAL TEACHING 6,10,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 7,2,2,50,1,600,SCHOOL OF COMPUTING,0,1,1,2A,2011,1
CS1010,SECTIONAL TEACHING 7,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 7,10,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 8,28,0,0,0,0,SCIENCE,1,1,0,2A,2011,1
CS1010,SECTIONAL TEACHING 1,8,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 2,8,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 3,15,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 5,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 5,7,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 6,10,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 7,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 7,10,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 8,28,0,0,0,0,SCIENCE,1,1,0,2B,2011,1
CS1010,SECTIONAL TEACHING 1,8,1,1,1,1,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 2,8,1,40,1,40,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 3,15,4,100,1,1400,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 5,8,2,1,1,100,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 6,10,0,0,0,0,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 7,11,0,0,0,0,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 8,28,5,2,1,1584,SCHOOL OF COMPUTING,2,1,1,3A,2011,1
CS1010,SECTIONAL TEACHING 1,7,2,1,1,1,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 2,7,2,1,1,5,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 3,11,2,350,1,400,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 5,7,4,1,1,1278,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 6,10,0,0,0,0,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 7,11,0,0,0,0,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 8,23,1,1000,1,1000,SCHOOL OF COMPUTING,2,1,1,3B,2011,1
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2011,2
